"NO","SFPI","TANGGAL","ACID","A_REG","AC_TYPE","Flight_Type","PBN","C_FL","R_FL","X_FL","RIU","ETD","Tgl_ETD","ATD","Tgl_ATD","ATA","ETA","Tgl_ATA","Tgl_ETA","ADEP","ADES","Route","Point_Entry","Time_Entry","Point_Exit","Time_Exit","Sector","Est_point","FL_Rec","Tipe_Trav","POB","Status_data","TnG","Opr_Info","Remark","DOF","isManual","clientInputSqawk"
1,"18376008","01/11/2024","MAS132","9MMTI","A333","S","A1B1C1D1L1O1S2",400,400,400,,"1315","31102024","1315","31102024",,,,,"NZAA","WMKK",,"RAFIS","2239","AVPIV","2329","UTPN UPNK UTPG UPKP","TAVIP/2227 RAFIS/2239 MASRI/2244 LAKUN/2248 GUKNO/2257 SURGA/2305 ATPOM/2317 INVUB/2317 JUNHA/2324 IRTAD/2326 AVPIV/2329 SJ/2329","null 400","OVERFLIGHT",,,,,,"241031",false,
1,"18376162","01/11/2024","GIA605","PKGUA","B738","S","A1C1D1L1O1S1S2",20,320,220,,"0409","01112024","0409","01112024","0612","0602","01112024","01112024","WAAA","WIII",,"KALUT","0529","ELKIT","0603","USMG LE TE AN","KALUT/0529 KURUS/0546 IGUNA/0550 SAGAS/0552 UBNUX/0556 DKI/0559 ONILI/0600 PAPAF/0602 ELKIT/0603 NININ/0604","null 360 220 190 100 20","INBOUND",,,,,,"241101",false,
1,"18376344","01/11/2024","AWQ200","PKAXT","A320","S","A1B1C1D1O1S2",360,360,360,,"2205","31102024","2205","31102024",,,,,"WIII","WMKK",,"ISLIN","2211","OLNUB","2314","TW LN UPLB UPKP","ISLIN/2211 SAVIA/2214 NIPIP/2218 IDUMU/2222 DOLTA/2221 GUSKO/2232 PLB/2241 PARDI/2300 FIRJ3/2302 REPOV/2307 UXATI/2309 REMES/2310 EMSIB/2312 OLNUB/2314 SJ/2314 LEGOL/2316 LAPOL/2316","null 280 360","OUTBOUND",,,,,,"241031",false,
1,"18376818","01/11/2024","AXM390","9MAQZ","A320","S","A1B1C1D1O1",250,290,250,,"0400","01112024","0400","01112024",,,,,"WIMM","WMKK",,"PUGER","0425","PUGER","0425","UMDN","DES/0410 PUGER/0425","null 250","OUTBOUND",,,,,,"241101",false,
1,"18377412","01/11/2024","CTV763","PKGTK","A20N","S","A1B1C1D2L1O1S2",20,260,280,,"0500","01112024","0500","01112024","0600","0553","01112024","01112024","WAHQ","WIII",,"KIDET","0524","ELKIT","0551","USMG LE TE AN","SO/0505 PURWO/0510 ANY/0514 KIDET/0524 IMU/0531 TESAP/0534 IGUNA/0535 SAGAS/0538 UBNUX/0542 DKI/0545 ONILI/0547 PAPAF/0549 ELKIT/0551 NININ/0551","null 280 190 60 20","INBOUND",,,,,,"241101",false,
1,"18378035","01/11/2024","MXD351","PKLDO","B738","S","A1L1C1D1O1S2T1",340,340,340,,"0318","01112024","0318","01112024",,,,,"WARR","WMKK",,"RAFIS","0408","AVPIV","0500","UTPN UPNK UTPG UPKP","TAVIP/0355 RAFIS/0408 MASRI/0413 LAKUN/0418 GUKNO/0426 SURGA/0435 ATPOM/0447 INVUB/0448 JUNHA/0455 IRTAD/0458 AVPIV/0500 SJ/0501 LEGOL/0502 LAPOL/0502","null 340","OVERFLIGHT",,,,,,"241101",false,
1,"18378209","01/11/2024","TNU673","PKTLB","A320","S","A1B1C1D1O1S2",360,380,360,,"0400","01112024","0400","01112024",,,,,"WIII","WMKK",,"RUTIB","0406","OLNUB","0509","TW LN UPLB UPKP","RUTIB/0406 AKPEB/0408 PAGSA/0411 NIPIP/0413 IDUMU/0417 DOLTA/0416 GUSKO/0428 PLB/0437 PARDI/0455 FIRJ3/0458 REPOV/0502 UXATI/0505 REMES/0506 EMSIB/0508 OLNUB/0509 SJ/0510 LEGOL/0510 LAPOL/0511","null 280 380 360","OUTBOUND",,,,,,"241101",false,
1,"18378944","01/11/2024","SJV921","PKSJJ","A320","S","A1B1C1D1L1O1S1",30,270,220,,"2305","31102024","2305","31102024","2354","2356","31102024","31102024","WIPP","WIII",,"PLB","2309","PRIOK","2346","UPLB UJKT LN TW AN","PLB/2309 BORAS/2321 BIDAK/2326 BUNIK/2335 RAMAL/2338 LUVAX/2341 BIBMI/2343 PRIOK/2346","null 270 220 100 110 30","DOMESTIC",,,,,,"241031",false,
1,"18379486","01/11/2024","LNI684","PKLKW","B738","S","A1C1C2D1S1S2T1",220,310,220,,"0400","01112024","0400","01112024",,"0507",,"01112024","WIII","WIOO",,"ESTIA","0412","PNK","0516","TE LC UTPN UPNK","ESTIA/0412 ANDIS/0417 SUBUR/0420 ABASA/0423 ALTAR/0433 TPN/0442 OLVES/0459 PNK/0516","null 290 50 80 140 160 290 310 330 310 220","DOMESTIC",,,,,,"241101",false,
1,"18377701","01/11/2024","T7JCI","T7JCI","E35L","G","A1B1C1D2D3O1S1",370,370,370,,"0030","01112024","0030","01112024",,,,,"WIII","WARR",,"HLM","0045","CA","0059","TS LE UJOG","BEMLO/0038 OLPIK/0040 ATOTO/0043 HLM/0045 NUREN/0047 PW/0051 ASIPA/0055 CA/0059 ANY/0115","null 290 370","OUTBOUND",,,,,,"241101",false,
