"callsign","adep","ades","actualLandingTime"
"GIA203","WAHI","WIII","2024-06-02T14:40:50.000Z"
"GIA313","WARR","WIII","2024-06-02T14:25:45.000Z"
"GIA193","WIMM","WIII","2024-06-02T16:07:37.000Z"
"GIA613","WAAA","WIII","2024-06-02T15:08:53.000Z"
"CTV979","WIMM","WIII","2024-06-02T14:17:51.000Z"
"CTV691","WADD","WIII","2024-06-02T15:06:58.000Z"
"CTV915","WIMM","WIII","2024-06-02T16:53:22.000Z"
"CTV889","WIPP","WIII","2024-06-02T14:21:32.000Z"
"AWQ817","WADD","WIII","2024-06-02T15:43:49.000Z"
"SJY599","WAAA","WIII","2024-06-02T14:08:05.000Z"
"SJV889","WIMM","WIII","2024-06-02T14:24:37.000Z"
"SJV747","WADD","WIII","2024-06-02T14:01:32.000Z"
"SJV745","WADD","WIII","2024-06-02T15:20:02.000Z"
"BTK6511","WADD","WIII","2024-06-02T14:21:03.000Z"
"SVA826","OEJN","WIII","2024-06-02T15:57:32.000Z"
"OEY203","WAOO","WIII","2024-06-02T15:11:14.000Z"
"SVA4257","OEJN","WIII","2024-06-02T16:41:00.000Z"
"QTR954","OTHH","WIII","2024-06-02T14:33:06.000Z"
"AWQ257","VTBD","WIII","2024-06-02T14:56:28.000Z"
"UAE358","OMDB","WIII","2024-06-02T15:24:05.000Z"
"CES5069","ZSPD","WIII","2024-06-02T15:13:51.000Z"
"CCA475","ZUTF","WIII","2024-06-02T14:12:09.000Z"
"AWQ253","VTBD","WIII","2024-06-02T16:32:21.000Z"
"CTV9721","WARR","WIII","2024-06-02T15:30:33.000Z"
"CPA797","VHHH","WIII","2024-06-02T15:48:44.000Z"
"CTV527","WSSS","WIII","2024-06-02T14:47:43.000Z"
"CXA867","ZSAM","WIII","2024-06-02T15:22:04.000Z"
"GIA863","VHHH","WIII","2024-06-02T14:30:13.000Z"
"BTK7630","VTBD","WIII","2024-06-02T15:17:09.000Z"
"AWQ209","WMKK","WIII","2024-06-02T15:51:49.000Z"
"CDG2153","ZSAM","WIII","2024-06-02T15:54:52.000Z"
"AWQ213","WMKK","WIII","2024-06-02T16:29:41.000Z"
"CSN8353","ZGSZ","WIII","2024-06-02T16:01:57.000Z"
"MXD318","WMKK","WIII","2024-06-02T16:12:53.000Z"
"PAL535","RPLL","WIII","2024-06-02T16:59:04.000Z"
"CSN387","ZGGG","WIII","2024-06-02T16:05:03.000Z"
"SJV905","WIEE","WIII","2024-06-02T15:03:49.000Z"
"SIA968","WSSS","WIII","2024-06-02T15:37:09.000Z"
"CEB759","RPLL","WIII","2024-06-02T16:36:41.000Z"
"GIA415","WADD","WIII","2024-06-02T14:06:17.000Z"
"PKECA","WATT","WIII","2024-06-02T14:51:01.000Z"
"BTK7152","WSSS","WIII","2024-06-02T15:00:57.000Z"
"MAS727","WMKK","WIII","2024-06-02T16:27:05.000Z"
"GIA425","WADD","WIII","2024-06-02T15:40:34.000Z"
"BTK7158","WSSS","WIII","2024-06-02T15:46:33.000Z"
"PAS203","WARR","WIII","2024-06-02T14:04:34.000Z"
"PAS105","WADD","WIII","2024-06-02T14:50:58.000Z"
"CTV421","WALL","WIII","2024-06-02T14:54:04.000Z"
"AWQ809","WADD","WIII","2024-06-02T14:14:58.000Z"
"GIA2414","WAHS","WIII","2024-06-02T15:34:26.000Z"
"GIA193","WIMM","WIII","2024-06-09T15:27:56.000Z"
"GIA613","WAAA","WIII","2024-06-09T15:23:18.000Z"
"CTV719","WARR","WIII","2024-06-09T14:10:42.000Z"
"CTV691","WADD","WIII","2024-06-09T15:19:56.000Z"
"GIA313","WARR","WIII","2024-06-09T14:53:13.000Z"
"CTV979","WIMM","WIII","2024-06-09T14:06:33.000Z"
"CTV883","WIMM","WIII","2024-06-09T15:09:13.000Z"
"AWQ817","WADD","WIII","2024-06-09T15:42:16.000Z"
"AWQ811","WADD","WIII","2024-06-09T16:59:59.000Z"
"CTV427","WAAA","WIII","2024-06-09T16:26:07.000Z"
"CTV889","WIPP","WIII","2024-06-09T14:14:58.000Z"
